,name,address,race,marital-status,occupation,pregnant,education-num,relationship,capital-gain,education,fnlwgt,class,income,native-country,hours-per-week,capital-loss,workclass,mean_glucose,std_glucose,kurtosis_glucose,skewness_glucose,mean_oxygen,std_oxygen,kurtosis_oxygen,skewness_oxygen
0,Clarence Rodriguez,"6931 Anthony Island
Taylorland, NH 14540", White, Married-civ-spouse, Craft-repair,f,9.0, Husband,0.0, HS-grad,183279.0,0.0, <=50K, United-States,40.0,0.0, Private,117.5078125,40.78851632,0.125276128,0.773515768,2.785953177,16.66021847,8.165360233,82.95676590000002
1,Manuel Boyd,"50488 Timothy Knolls
North Brittanyborough, NH 98125", Black, Never-married, Sales,f,10.0, Own-child,0.0, Some-college,130724.0,1.0,<=50K, United-States,25.0,0.0,??,16.5390625,42.74486489,3.968126022,15.39874146,109.1831104,53.13709551,0.871270859,0.488218105
2,Charles Arthur,"247 Johnson Roads Apt. 514
Port Sarahton, WI 58688", White, Married-civ-spouse, Handlers-cleaners,F,10.0, Husband,0.0, Some-college,180284.0,0.0, <=50K, United-States,50.0,0.0, Private,126.6171875,49.07776372,0.193886793,0.162133301,2.232441472,15.86021139,8.937472592999999,95.09325696
3,Carl Dobransky,"102 Taylor Trace
New Jennifer, RI 87597", White, Never-married, Exec-managerial,f,13.0, Not-in-family,0.0, Bachelors,126060.0,0.0, <=50K, United-States,40.0,0.0, Private,132.7734375,45.89580844,0.201450204,0.08783749,0.522575251,9.779098182,20.97917382,474.263227
4,Thomas Oconnor,"USNV Skinner
FPO AE 19822", White, Married-civ-spouse, Craft-repair,FALSE,7.0, Husband,0.0, 11th,274657.0,1.0, <=50K, ?,40.0,0.0, Private,100.65625,45.96422479,0.350437357,0.282473689,10.30518395,38.96584998,3.937302238,15.00113908
5,Roy Parker,"00682 Kelly Plains
East Richardborough, CT 34467", White, Married-civ-spouse, Sales,f,14.0, Husband,0.0, Masters,156743.0,0.0, >50K, United-States,76.0,0.0, Private,100.4765625,53.20273208,0.802608386,0.633111585,3.611204013,23.46765742,7.988965727999999,67.41311358
6,Brandon Thomas,"3591 Tran Tunnel
Lake Lisa, MT 26529", White, Married-civ-spouse, ?,f,11.0, Husband,0.0, Assoc-voc,249463.0,1.0, <=50K, United-States,20.0,0.0,,63.6953125,31.29735377,2.988502449,15.50930693,86.35367893,93.17431336,0.476516327,-1.40644635
7,Matthew Clement,"3329 Crystal View
Lake Bradley, WY 40642", White, Married-civ-spouse, Sales,f,10.0, Husband,0.0, Some-college,219086.0,0.0,<=50K, United-States,55.0,0.0, Private,117.9375,51.8425727,0.252481192,-0.221498349,1.390468227,15.00993682,12.13853418,158.96931709999996
8,Salvador Simon,"270 Allen Stream Apt. 761
Lisamouth, AR 72232", White, Married-civ-spouse, Craft-repair,f,10.0, Husband,0.0, Some-college,288154.0,0.0,>50K, United-States,89.0,0.0, Private,132.515625,51.12316384,0.095649098,-0.290893308,3.505852843,19.32465455,7.022261329,57.73099907
9,Randy Sheeley,"058 Jessica Stravenue
Davidmouth, WV 40786", White, Divorced, ?,f,12.0, Not-in-family,14084.0, Assoc-acdm,175653.0,1.0,>50K, United-States,40.0,0.0, ?,96.546875,39.51697803,1.128441314,2.58304544,88.47491639,87.97220528,0.238320736,-1.546453911
