,name,address,sex,date_of_birth,race,marital-status,occupation,pregnant,relationship,education,income,native-country,workclass,education-num,capital-gain,fnlwgt,hours-per-week,capital-loss,kurtosis_glucose,kurtosis_oxygen,mean_glucose,mean_oxygen,skewness_glucose,skewness_oxygen,std_glucose,std_oxygen,age,class
0,Roscoe Bohannon,"7183 Osborne Ways Apt. 651
East Andrew, OH 53211", Male,30/3/1967, White, Never-married, Adm-clerical,f,Not_in_family, Masters,>50K, United-States, State-gov,14.0,0.0,338816.0,70.0,0.0,1.280502609,3.513019199,95.3515625,14.10367893,3.351276969,11.30599897,41.82881592,47.47480536,52.0,1.0
1,Ernest Kline,"391 Ball Road Suite 961
flowersborough, IN 57550", Male,15/10/1970, Black, Divorced, transport-moving,f,Not_in_family, Some-college,<=50K, United-States, Private,10.0,0.0,194304.0,55.0,0.0,0.26767942,8.402488689,111.1640625,2.902173913,-0.141939639,79.61894133,51.80217438,19.0582533,49.0,0.0
2,Harold Hendriks,"8702 Vincent Square
New Jerryfurt, CO 30614", Male,16/12/1954, White, Never-married, Sales,f,Not_in_family, Some-college,<=50K, United-States, Private,10.0,0.0,200700.0,50.0,0.0,0.8501844736562745,1.042517402,14.4609375,57.38210702,3.51995953893099,0.23163624,29.38773722,68.26285990000001,65.0,1.0
3,Randy Baptiste,"2751 Harris Crossroad
West Ashley, CA 30311", Male,23/7/1969, White, Married-civ-spouse, Craft-repair,f, Husband, Some-college,<=50K, United-States, Private,10.0,0.0,132626.0,6.0,0.0,0.510415259,10.50891351,107.796875,1.910535117,1.6726030230000002,120.4432366,41.56270853,17.34095012,50.0,1.0
4,Anthony Colucci,"904 Robert Cliffs Suite 186
West Kyle, CO 77139", Male,5/3/1950, White, Married-civ-spouse, Machine-op-inspct,f, Husband, Some-college,<=50K, United-States, Private,10.0,0.0,177974.0,70.0,0.0,0.459786385,12.59528115,111.484375,1.599498328,-0.116594362,226.6992057,53.06834985,11.34747477,69.0,0.0
5,Ronald Lange,"30973 Martinez Shores
Jameston, CA 70245", Male,29/11/1958, White, Married-civ-spouse, Prof-specialty,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,81548.0,40.0,0.0,0.981031627,5.359597043,91.8359375,6.798494982999999,2.209713446,28.41143361,42.76147093,34.33603903,61.0,1.0
6,Boyd Eiselein,"29941 Christopher Curve Apt. 682
Raychester, VA 32742", Male,15/7/1992, White, Divorced, Craft-repair,f,Other_relative, HS-grad,<=50K, United-States, Private,9.0,0.0,212894.0,40.0,0.0,0.167162487,8.17373798,112.0078125,2.843645485,-0.447538557,83.25530782,54.19200473,16.27824948,27.0,0.0
7,Raymond Smith,"53487 Scott Extensions Apt. 824
Mccartytown, MA 94793", female,28/10/1957, White, Never-married, Handlers-cleaners,f,Own_child, HS-grad,<=50K, United-States, Private,9.0,0.0,99697.0,40.0,0.0,2.10205517,5.25579593,65.5390625,6.8361204010000005,9.023274646,27.14459466,33.70758964,34.04799239,61.0,1.0
8,Harold Miller,"8514 Elizabeth Crescent
West Joseland, GA 49359", Male,4/7/1968, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, Italy, Private,9.0,0.0,252714.0,30.0,0.0,0.8501844736562745,0.969790159,22.3125,66.96070234,3.51995953893099,0.087332541,30.5112044,69.38765343,51.0,1.0
9,Charles Czachorowski,"6798 Wagner Locks Suite 377
Lake Brenda, DC 53038", Male,13/11/1993, White, Married-civ-spouse, Other-service,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,309630.0,40.0,0.0,0.269217904,16.83460195,110.40625,1.040133779,0.210545399,79.42211559209325,49.06842122,10.04188859,26.0,0.0
10,Robert Grantham,"822 Adams Plains
New Karen, AK 92114", female,7/9/1983, White, Never-married, Prof-specialty,f,Not_in_family, Masters,<=50K, United-States, Private,14.0,0.0,180032.0,40.0,1669.0,0.216697007,7.184802117188757,122.25,0.447324415,1.500288742,79.42211559209325,35.21984526,9.131228412,36.0,0.0
11,Joel Lam,"61296 Reginald Rapids Suite 783
West timothyview, IA 09137", female,12/8/1969, White, Separated, Adm-clerical,f, Unmarried, HS-grad,<=50K, United-States, Private,9.0,0.0,140045.0,40.0,0.0,2.861040502,1.3696374480000002,65.203125,44.52090301,12.8045048,0.31678939300000003,33.16397692,75.76121217,50.0,1.0
12,Irving Gil,"90757 Amanda Views Suite 604
Port Paul, tX 04848", Male,14/4/1985, White, Divorced, farming-fishing,f, Unmarried, 10th,<=50K, United-States, Self-emp-not-inc,6.0,0.0,59612.0,70.0,0.0,0.08298171900000001,0.982958246,131.921875,50.14548495,-0.27286313100000004,-0.648081065,50.55606563,73.33235543,34.0,0.0
13,terry Reynolds,"0019 Jensen Land Apt. 513
Port timothyville, WI 53386", Male,25/4/1955, Asian-Pac-Islander, Married-civ-spouse, Other-service,f, Husband, HS-grad,<=50K, China, Private,9.0,0.0,305767.0,40.0,0.0,0.113922565,14.21527123,121.65625,1.045986622,0.06569784599999999,237.7898682,46.22185588,11.82998538,64.0,0.0
14,Kurt Littlefield,"822 Wilson Meadow
Mitchellmouth, RI 05935", Male,19/11/1959, White, Married-civ-spouse, farming-fishing,f, Husband, 7th-8th,<=50K, Mexico, Private,4.0,0.0,461929.0,40.0,0.0,0.17912833600000005,9.839908238,122.796875,2.320234114,-0.311661206,129.2648273,52.98457313,13.95514645,60.0,0.0
15,Andy Grayson,"2573 Ryan Mission
Shortton, DC 01129", Male,1/8/1962, White, Married-civ-spouse, Craft-repair,f, Husband, Some-college,<=50K, United-States, Private,10.0,0.0,312667.0,40.0,0.0,0.391654905,13.74983189,111.6015625,1.607859532,-0.025640354,269.10276830000004,52.43721541,10.8093499,57.0,0.0
16,Chauncey Suarez,"481 Wilson Prairie
Kimberlymouth, LA 20064", female,12/12/1989, White, Divorced, Machine-op-inspct,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,141301.0,40.0,0.0,0.050662416,8.747282842999999,126.265625,2.9431438130000003,-0.132230834,87.07199556,53.52080267,18.31036162,29.0,0.0
17,Wallace Street,"9909 John Creek
East Heather, NY 31266", Male,17/8/1956, White, Never-married, Machine-op-inspct,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,2174.0,125954.0,40.0,0.0,0.042732841,9.120845475,133.078125,2.276755853,0.488896579,103.8768711,43.49005083,14.97789324,63.0,0.0
18,Daniel Crossman,"74669 Robles Drive
Port Madisonbury, LA 63565", female,26/10/1957, Black, Married-civ-spouse, Prof-specialty,f, Wife, Masters,>50K, United-States, Local-gov,14.0,0.0,92374.0,35.0,0.0,0.183779858,8.85867613,121.453125,2.574414716,-0.307962455,102.7595113,56.81038354,14.77185409,62.0,0.0
