,name,address,sex,date_of_birth,race,marital-status,occupation,pregnant,relationship,education,income,native-country,workclass,education-num,capital-gain,fnlwgt,hours-per-week,capital-loss,mean_glucose,std_glucose,kurtosis_glucose,skewness_glucose,mean_oxygen,std_oxygen,kurtosis_oxygen,skewness_oxygen,age,class
0,Philip Miller,"7910 Rosales Plain Apt. 454
Port Carl, GA 69839", Male,7/7/1997, White, Divorced, Other-service,f,Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,0.041867894501801124,0.36102666530117616,-0.22716575022407376,128.7890625,48.73696177,0.123297257,-0.010217905,2.989966555,19.01359045,9.21211289,99.18343088,22.0,0.0
1,Mitch Wilson,"055 Morgan Plains Suite 225
East Darrylmouth, KS 41706", Male,21/6/1977, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,>50K, United-States, Private,-0.44728577589804736,3.256097167250488,1.2979471806977214,-0.049760330148127474,-0.22716575022407376,107.0546875,44.01532201,0.244217102,0.132196122,3.598662207,19.36606861,6.8495569189999985,55.30418609,42.0,0.0
2,James Olsen,"PSC 7359, Box 2088
APO AE 62717", Male,20/1/1934, White, Never-married, Craft-repair,f,Own_child, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.21495114755352182,-0.049760330148127474,-0.22716575022407376,81.890625,43.73021595,1.331003507,3.066019135,11.89882943,40.50751157,3.792163135,14.48240675,85.0,1.0
3,Maurice Riley,"USS Allen
fPO AP 87677", female,23/8/1968, White, Divorced, Adm-clerical,f,Own_child, HS-grad,<=50K, Cuba, Local-gov,-0.44728577589804736,-0.307121916819555,0.6930516157450572,-0.049760330148127474,-0.22716575022407376,133.0546875,57.58204861,0.1087217,-0.515526126,1.27173913,11.51299559,14.10177135,248.0636949,51.0,0.0
4,Larry Stanley,"491 fields Key Suite 544
Gracestad, Mt 13456", female,9/7/1959, White, Never-married, Prof-specialty,f,Not_in_family, Bachelors,<=50K, United-States, Private,1.1667590804424672,-0.307121916819555,-1.750919869627,-2.504522372221203,-0.22716575022407376,128.84375,53.32952359,0.094572009,-0.313944642,2.284280936,13.45776698,9.566518633,128.11226340000002,60.0,0.0
5,Stanley Orndorff,"1989 Dylan Inlet Apt. 862
Coreystad, MA 30654", Male,15/10/1963, Black, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.7669056500794504,-0.049760330148127474,-0.22716575022407376,84.640625,36.37945299,1.674437399,5.640745493,62.60618729,67.69226641029621,0.742935105,-1.02941432,56.0,1.0
6,Mark Bierlein,"Unit 7145 Box 9167
DPO AA 86245", Male,28/7/1965, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.11196757257484805,0.7745746796839207,4.4020720703239675,137.78125,51.57896517,0.003477878,-0.462432464,6.161371237000001,27.74299537,5.701815645,36.02687620000001,54.0,0.0
7,Matthew Spence,"741 Alvarez Village Suite 345
New Stephanie, ME 59101", Male,23/1/1943, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,-1.6157866128997176,-0.049760330148127474,-0.22716575022407376,102.6875,52.68075283,0.462788609,-0.090335529,4.497491639,24.5135788,6.897099057,51.97532299,76.0,0.0
8,Willie Williams,"149 Parker tunnel
Ryanside, VA 94814", female,5/6/1971, White, Married-civ-spouse, Adm-clerical,f, Wife, Some-college,>50K, United-States, federal-gov,-0.06036390113009848,-0.307121916819555,1.409386766163817,-0.049760330148127474,-0.22716575022407376,84.71875,37.83515592,0.552948261,2.249434276,2.346153846,19.11548892,9.204093262,92.11715428,48.0,0.0
9,Curtis Johnson,"08244 Burton Junctions Suite 409
Scottmouth, ID 37801", female,13/1/1992, White, Married-civ-spouse, Prof-specialty,f, Wife, Assoc-voc,>50K, United-States, Self-emp-not-inc,0.33804302885987203,3.2560300882177637,-1.511855781926722,0.7745746796839207,-0.22716575022407376,114.43113061078242,44.00972016,-0.653926914,1.132875283,1.256688963,12.82680475,13.0732734,197.1366511,27.0,0.0
10,Adrian Strohm,"44759 Michael Crossing
Chapmanfurt, SC 23735", Male,17/9/1962, White, Married-civ-spouse, farming-fishing,f, Husband, HS-grad,<=50K, United-States, Self-emp-not-inc,-0.44728577589804736,3.255929431903474,0.7355650385255494,-1.6574119401277534,-0.22716575022407376,124.4921875,52.35232148,0.069861239,-0.139488793,1.357859532,10.96752717,14.70379481,279.85495489999994,57.0,0.0
11,Vernon Sagon,"81395 Aguilar Mission Suite 404
New Caitlin, IA 75654", female,15/6/1935, White, Divorced, Sales,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-1.1587832835231089,-0.049760330148127474,-0.22716575022407376,42.5546875,31.18037459,4.417519042,25.65261075,17.7173913,48.29203662,3.136579598,9.663884391,84.0,1.0
12,todd Gilles,"300 Robert Plaza Suite 415
Castillostad, SC 54440", Male,17/7/1966, White, Married-civ-spouse, Handlers-cleaners,f, Husband, Assoc-voc,<=50K, Greece, Private,0.33804302885987203,-0.307121916819555,-0.8156807147456706,-0.049760330148127474,-0.22716575022407376,70.0234375,35.22305372,2.184605065,7.169871305,13.12625418,37.04616048,2.834075696,7.331604342999999,53.0,0.0
13,Joseph Spector,"Unit 6246 Box 4124
DPO AE 49772", Male,4/12/1966, White, Married-civ-spouse, Craft-repair,f, Husband, Assoc-acdm,>50K, United-States, Private,0.7472751289507462,-0.307121916819555,0.14335789554225634,0.940708066926159,-0.22716575022407376,113.8515625,47.24141619,0.37719757,0.011165439,2.161371237,13.60238812,10.22413014,139.8518686,52.0,0.0
14,Kristopher Catrone,"721 Griffin Course Apt. 814
North Josebury, MN 57980", Male,29/9/1973, White, Never-married, Machine-op-inspct,f,Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.575384047916537,-0.049760330148127474,-0.22716575022407376,83.2578125,48.88063364,1.321662217,1.743422173,46.91169854790414,68.881273193326,-0.485333348,-1.41416531,46.0,1.0
15,Lynn Quist,"668 Leonard Spring Suite 947
Kathleenhaven, OK 49798", Male,3/4/1975, Black, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.35564747330075364,-0.049760330148127474,-0.22716575022407376,135.859375,50.23579420366558,0.023920946,-1.791885981,3.655518395,19.63892442,7.228961564,63.40119159,44.0,0.0
16,Eduardo Paci,"34386 Shepard Lodge Apt. 889
East Erin, RI 48702", female,2/6/1977, White, Married-civ-spouse, Prof-specialty,f, Wife, Masters,>50K, United-States, Private,1.5959913061532025,-0.307121916819555,1.7135852385140669,0.27863926117293303,4.4020720703239675,100.3984375,43.07176784,0.297372058,0.577455179,2.724916388,20.33051518,8.094685647999999,68.95415538,42.0,0.0
17,Elvin troutman,"47716 Reynolds tunnel Suite 466
South Joshuatown, NH 92502", female,20/10/1967, White, Married-civ-spouse, farming-fishing,t, Wife, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,0.828441257067885,-1.6574119401277534,-0.22716575022407376,24.484375,41.16544067,4.347698018,18.75114241,109.7892977,63.461985701286004,0.010425467,-1.259046483,52.0,1.0
18,John Briscoe,"396 Nguyen Row
Garrettberg, Ct 57382", female,6/8/1969, White, Never-married, Prof-specialty,f,Not_in_family, Bachelors,<=50K, Cuba, Private,1.1667590804424672,3.2560214891419643,0.8435932050099485,0.940708066926159,-0.22716575022407376,118.7265625,40.55488466,0.320337544,0.8911952240000001,3.721571906,23.10667214,7.153364366,55.73816753,50.0,0.0
19,John Cuff,"10243 Williams flats
Longshire, OR 37126", female,3/2/1945, White, Never-married, Sales,f,Not_in_family, Assoc-voc,<=50K, United-States, Private,0.33804302885987203,-0.307121916819555,0.15459390389645097,-0.21323372346394612,-0.22716575022407376,126.8359375,52.54459079,-0.199619402,-0.375729634,58.988930311979814,56.69405463969058,-0.204138206,-1.887131091,74.0,0.0
20,John Pierce,"4433 Ryan Courts
Donnamouth, DE 83886", female,27/6/1947, Amer-Indian-Eskimo, Married-civ-spouse, Prof-specialty,f, Wife, Assoc-acdm,<=50K, United-States, Private,0.7472751289507462,-0.307121916819555,-2.1720592635632956,-0.049760330148127474,-0.22716575022407376,68.0,34.79673117,2.392634106,10.16685471,10.62123746,34.36608712,3.99602883,17.93412246,72.0,1.0
21,Emanuel Jenkins,"160 taylor Gardens
Port Brian, MO 75116", Male,25/7/1961, White, Married-civ-spouse, Prof-specialty,f, Husband, Some-college,<=50K, United-States, Self-emp-not-inc,-0.06036390113009848,-0.307121916819555,1.2192165335022986,-1.6574119401277534,-0.22716575022407376,119.53125,45.94237857,0.021220137000000003,0.15581999800000002,2.400501672,14.01257079,9.076239501,114.0253034,58.0,0.0
22,Paul Corey,"0439 Baker Course
Burkechester, Ct 11984", Male,14/8/1965, White, Married-civ-spouse, Other-service,f, Husband, 11th,<=50K, United-States, Self-emp-not-inc,-1.1834549059276278,-0.307121916819555,-0.9653922331087488,-0.049760330148127474,-0.22716575022407376,140.546875,40.40128003,-0.194649306,0.490959973,2.474080268,20.54239837,9.091147614,86.49570902,54.0,0.0
23,Andrew Erickson,"257 tyler Creek Suite 312
Watsonmouth, MI 03049", Male,22/10/1960, Black, Married-civ-spouse, Craft-repair,f, Husband, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,1.2487703761703886,-0.049760330148127474,-0.22716575022407376,105.8828125,36.6963088,0.53019494,1.6307859219999998,2.385451505,14.09236453,9.01254122,110.8302172,59.0,0.0
24,Alex Coates,"4187 Karen Via Suite 438
Kellyberg, WI 22338", female,26/3/1970, White, Married-civ-spouse, Adm-clerical,f, Wife, Assoc-acdm,>50K, Italy, Private,0.7472751289507462,-0.307121916819555,-0.01686348053598378,-0.049760330148127474,-0.22716575022407376,42.0234375,33.02708757,3.6688856,19.64800538,87.90468227,67.41918532595565,0.259049282,-1.5043414730000002,49.0,1.0
25,frankie Cook,"23338 Anthony Radial Apt. 750
Lake Erik, WA 74958", female,7/10/1955, White, Divorced, Prof-specialty,f, Unmarried, HS-grad,<=50K, United-States, federal-gov,-0.44728577589804736,-0.307121916819555,0.17603128697678241,-0.049760330148127474,-0.22716575022407376,137.0859375,49.38592084,0.010375672,-0.171750769,6.573578595,31.47219037,5.3259612160000005,29.10956458,64.0,0.0
26,James Oglesby,"PSC 5491, Box 5970
APO AE 70688", Male,19/5/1969, White, Divorced, Sales,f, Not_in_family, Some-college,<=50K, United-States, Private,-0.06036390113009848,-0.307121916819555,0.30262918486256235,-0.049760330148127474,-0.22716575022407376,8.25,26.94351731,5.820639272858623,36.679828635271875,48.65468227,58.29434870000001,1.5141474330000002,1.877476401,50.0,1.0
27,terry Rock,"14807 Butler Springs
Nicholasbury, WY 45512", Male,30/10/1963, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,0.38828287274307294,-0.049760330148127474,-0.22716575022407376,104.3359375,41.6726974,0.446359263,1.169709389,1.116220736,12.08369798,13.56335017,218.2323235,55.0,0.0
28,Anthony Pisciotta,"2286 Phillips Squares Suite 449
Jamesberg, ID 69649", Male,3/2/1950, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,>50K, United-States, Private,-0.44728577589804736,-0.307121916819555,0.4411300658431695,-0.049760330148127474,-0.22716575022407376,49.078125,31.69202615,2.833534788,14.16353002,22.22826087,54.9140609,2.685933484,6.424923932,69.0,1.0
29,Eric Steuer,"053 Maria freeway
Cortezfurt, NC 14978", Male,9/1/1964, White, Married-civ-spouse, Prof-specialty,f, Husband, Bachelors,>50K, United-States, Private,1.1667590804424672,-0.307121916819555,1.53441418823281,0.27863926117293303,-0.22716575022407376,126.34375,46.0150175,-0.15108180699999998,-0.320673329,3.237458194,19.50779284,7.879939038,70.94755008,55.0,0.0
30,Jose Perkins,"5770 Lori Land
North Philipmouth, WV 05787", Male,10/4/1951, White, Married-civ-spouse, Prof-specialty,f, Husband, Some-college,>50K, United-States, Private,-0.06036390113009848,3.256097167250488,-2.4720072542851805,-0.049760330148127474,-0.22716575022407376,86.1015625,46.12056887,1.335441841,2.940783765,6.113712375,32.53460385,5.7080732260000016,32.67639852,68.0,1.0
31,Wayne Brown,"3628 Reese Haven
South Melissaside, GA 83688", female,11/9/1957, White, Married-spouse-absent, Other-service,f, Unmarried, 7th-8th,<=50K, United-States, Private,-2.1765498657875755,-0.307121916819555,-0.5670462365760163,-0.8617005319262813,-0.22716575022407376,113.484375,52.28452573,0.003623994,-0.224286337,62.61725815875383,77.37033474,-0.864506151,-1.102026995,62.0,0.0
32,Hans Sackett,"99338 Raymond Junction
Lake Edwardmouth, MA 26182", Male,20/10/1968, White, Widowed, Prof-specialty,f,Not_in_family, Assoc-voc,>50K, United-States, Private,0.33804302885987203,3.2561203835850043,0.10787410467517279,1.6089756412038498,-0.22716575022407376,21.0390625,38.7059028,4.659643272,22.02695179,72.13712375,64.50498096,0.992518955,0.27588470600000004,51.0,1.0
33,Harry Mcgraw,"441 Monroe Prairie Apt. 973
West Ruth, RI 70508", Male,21/5/1967, White, Married-civ-spouse, Protective-serv,f, Husband, Some-college,<=50K, United-States, Local-gov,-0.06036390113009848,-0.307121916819555,-0.6697229131933805,4.934942724489834,-0.22716575022407376,118.296875,49.93282353,0.144400986,-0.269273166,1.04180602,10.19926508,16.73948344,284.50260736929727,52.0,0.0
34,James Hunt,"7188 Murray Parkways Apt. 495
Blackburnhaven, MA 93953", female,20/8/1977, Black, Separated, Machine-op-inspct,f, Unmarried, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,-0.6573887336171673,-0.049760330148127474,-0.22716575022407376,124.015625,48.83837892,-0.059285879000000014,-0.070660374,1.689799331,13.15910851,10.91509331,154.9596918,42.0,0.0
35,Luke Smart,"23110 Brooks Rapid Suite 473
Lake Katieport, NC 23392", Male,13/3/1960, White, Married-civ-spouse, transport-moving,f, Husband, 9th,<=50K, United-States, Private,-1.8623011004352616,-0.307121916819555,-0.8531880586692757,-0.049760330148127474,-0.22716575022407376,84.2265625,47.42332872,1.573240528,2.60999922,70.14294683960948,71.87268664,-0.473744206,-0.478413851,59.0,1.0
36,Caleb Johnson,"6704 Jon Valley
South Stanleyland, Mt 39326", Male,25/7/1972, Black, Never-married, Adm-clerical,f, Not_in_family, HS-grad,<=50K, United-States, Private,-0.44728577589804736,-0.307121916819555,1.2881549706517303,-0.049760330148127474,-0.22716575022407376,41.375,39.76532723,3.802018452,16.05622183,23.66053512,55.42796537,2.4519762430000003,5.164108328999999,47.0,1.0
37,Eric Guerrero,"1950 Michael Bridge
Stewartton, NH 60931", female,6/5/1965, White, Never-married, Machine-op-inspct,f, Unmarried, 5th-6th,<=50K, Mexico, Private,-2.471127422093553,-0.307121916819555,0.47984564394624424,-0.049760330148127474,-0.22716575022407376,78.3515625,35.03627358,1.976103877,7.087290857,26.31856187,58.15704741,2.238784691,4.036012839,54.0,1.0
38,Paul Griggs,"1148 Kelly Plains
North Amyport, NY 00741", female,21/5/1972, White, Never-married, Other-service,f,Own_child, Assoc-acdm,<=50K, United-States, Private,0.7472751289507462,-0.307121916819555,-0.7476535982282259,-2.504522372221203,-0.22716575022407376,138.875,58.98635965,-0.070374765,-0.389232706,1.512541806,11.57579399,12.87512135,223.3216001,47.0,0.0
39,Jimmy Jones,"52106 Bailey Walk
Beckerhaven, CA 93435", female,3/10/1956, Asian-Pac-Islander, Never-married, tech-support,f,Not_in_family, Bachelors,<=50K, Philippines, Private,1.1667590804424672,-0.307121916819555,-1.2306525843334364,-0.049760330148127474,-0.22716575022407376,16.0546875,32.86580399,5.329647139,30.32339334,118.0083612,64.98585398233823,0.025379341,-1.238788062,63.0,1.0
40,John Bormann,"258 Regina Ways Apt. 737
Michaelchester, OR 12247", female,26/1/1979, White, Married-civ-spouse, Other-service,f, Wife, HS-grad,<=50K, Peru, Private,-0.44728577589804736,-0.307121916819555,1.394621876791074,-0.049760330148127474,-0.22716575022407376,103.96875,47.47350207,0.304791679,0.016580582,1.5058528430000002,11.25543195,13.17515728,239.0896684,40.0,0.0
41,Karl fredrick,"1476 Michael Springs
New Mary, GA 98764", Male,2/10/1958, White, Never-married, Craft-repair,f, Unmarried, 11th,<=50K, United-States, Private,-1.1834549059276278,-0.307121916819555,1.4878242956158907,-0.4574700075170363,-0.22716575022407376,137.7265625,43.60345364,0.12515654699999998,0.33191264600000003,2.95735786,16.82819007,8.143903219,83.31886616,61.0,0.0
42,James Bailey,"9072 Charles Burg Apt. 032
Shannonburgh, NY 81030", Male,30/9/1967, White, Never-married, Priv-house-serv,f, Own_child, 9th,<=50K, Mexico, Private,-1.8623011004352616,-0.307121916819555,1.3234279791207861,-0.049760330148127474,-0.22716575022407376,98.0078125,46.20868021,0.420598477,0.642508806,4.5409699,20.45394109,5.979902151,43.12693476,52.0,0.0
