,name,address,sex,date_of_birth,race,marital-status,occupation,pregnant,relationship,education,income,native-country,workclass,education-num,capital-gain,fnlwgt,hours-per-week,capital-loss,kurtosis_glucose,kurtosis_oxygen,mean_glucose,mean_oxygen,skewness_glucose,skewness_oxygen,std_glucose,std_oxygen,age,class
0,Philip Miller,"7910 Rosales Plain Apt. 454
Port Carl, GA 69839", Male,7/7/1997, White, Divorced, Other-service,f,Not_in_family, Some-college,<=50K, United-States, Private,10.0,0.0,176609.0,45.0,0.0,0.123297257,9.21211289,128.7890625,2.989966555,-0.010217905,99.18343088,48.73696177,19.01359045,22.0,0.0
1,Mitch Wilson,"055 Morgan Plains Suite 225
East Darrylmouth, KS 41706", Male,21/6/1977, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,>50K, United-States, Private,9.0,7688.0,325971.0,40.0,0.0,0.244217102,6.8495569189999985,107.0546875,3.598662207,0.132196122,55.30418609,44.01532201,19.36606861,42.0,0.0
2,James Olsen,"PSC 7359, Box 2088
APO AE 62717", Male,20/1/1934, White, Never-married, Craft-repair,f,Own_child, HS-grad,<=50K, United-States, Private,9.0,0.0,152189.0,40.0,0.0,1.331003507,3.792163135,81.890625,11.89882943,3.066019135,14.48240675,43.73021595,40.50751157,85.0,1.0
3,Maurice Riley,"USS Allen
fPO AP 87677", female,23/8/1968, White, Divorced, Adm-clerical,f,Own_child, HS-grad,<=50K, Cuba, Local-gov,9.0,0.0,247731.0,40.0,0.0,0.1087217,14.10177135,133.0546875,1.27173913,-0.515526126,248.0636949,57.58204861,11.51299559,51.0,0.0
4,Larry Stanley,"491 fields Key Suite 544
Gracestad, Mt 13456", female,9/7/1959, White, Never-married, Prof-specialty,f,Not_in_family, Bachelors,<=50K, United-States, Private,13.0,0.0,46645.0,9.0,0.0,0.094572009,9.566518633,128.84375,2.284280936,-0.313944642,128.11226340000002,53.32952359,13.45776698,60.0,0.0
5,Stanley Orndorff,"1989 Dylan Inlet Apt. 862
Coreystad, MA 30654", Male,15/10/1963, Black, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,256647.0,40.0,0.0,1.674437399,0.742935105,84.640625,62.60618729,5.640745493,-1.02941432,36.37945299,28.880607670569045,56.0,1.0
6,Mark Bierlein,"Unit 7145 Box 9167
DPO AA 86245", Male,28/7/1965, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,13.0,0.0,183627.0,50.0,1977.0,0.003477878,5.701815645,137.78125,6.161371237000001,-0.462432464,36.02687620000001,51.57896517,27.74299537,54.0,0.0
7,Matthew Spence,"741 Alvarez Village Suite 345
New Stephanie, ME 59101", Male,23/1/1943, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,13.0,0.0,53271.0,40.0,0.0,0.462788609,6.897099057,102.6875,4.497491639,-0.090335529,51.97532299,52.68075283,24.5135788,76.0,0.0
8,Willie Williams,"149 Parker tunnel
Ryanside, VA 94814", female,5/6/1971, White, Married-civ-spouse, Adm-clerical,f, Wife, Some-college,>50K, United-States, federal-gov,10.0,0.0,341695.0,40.0,0.0,0.552948261,9.204093262,84.71875,2.346153846,2.249434276,92.11715428,37.83515592,19.11548892,48.0,0.0
9,Curtis Johnson,"08244 Burton Junctions Suite 409
Scottmouth, ID 37801", female,13/1/1992, White, Married-civ-spouse, Prof-specialty,f, Wife, Assoc-voc,>50K, United-States, Self-emp-not-inc,11.0,3103.0,58702.0,50.0,0.0,-0.653926914,13.0732734,100.459000499871,1.256688963,1.132875283,197.1366511,44.00972016,12.82680475,27.0,0.0
10,Adrian Strohm,"44759 Michael Crossing
Chapmanfurt, SC 23735", Male,17/9/1962, White, Married-civ-spouse, farming-fishing,f, Husband, HS-grad,<=50K, United-States, Self-emp-not-inc,9.0,1797.0,252842.0,20.0,0.0,0.069861239,14.70379481,124.4921875,1.357859532,-0.139488793,279.85495489999994,52.35232148,10.96752717,57.0,0.0
11,Vernon Sagon,"81395 Aguilar Mission Suite 404
New Caitlin, IA 75654", female,15/6/1935, White, Divorced, Sales,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,79372.0,40.0,0.0,4.417519042,3.136579598,42.5546875,17.7173913,25.65261075,9.663884391,31.18037459,48.29203662,84.0,1.0
12,todd Gilles,"300 Robert Plaza Suite 415
Castillostad, SC 54440", Male,17/7/1966, White, Married-civ-spouse, Handlers-cleaners,f, Husband, Assoc-voc,<=50K, Greece, Private,11.0,0.0,102828.0,40.0,0.0,2.184605065,2.834075696,70.0234375,13.12625418,7.169871305,7.331604342999999,35.22305372,37.04616048,53.0,0.0
13,Joseph Spector,"Unit 6246 Box 4124
DPO AE 49772", Male,4/12/1966, White, Married-civ-spouse, Craft-repair,f, Husband, Assoc-acdm,>50K, United-States, Private,12.0,0.0,186819.0,52.0,0.0,0.37719757,10.22413014,113.8515625,2.161371237,0.011165439,139.8518686,47.24141619,13.60238812,52.0,0.0
14,Kristopher Catrone,"721 Griffin Course Apt. 814
North Josebury, MN 57980", Male,29/9/1973, White, Never-married, Machine-op-inspct,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,121287.0,40.0,0.0,1.321662217,-0.485333348,83.2578125,13.815634680350989,1.743422173,-1.41416531,48.88063364,28.880607670569045,46.0,1.0
15,Lynn Quist,"668 Leonard Spring Suite 947
Kathleenhaven, OK 49798", Male,3/4/1975, Black, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,209213.0,40.0,0.0,0.023920946,7.228961564,135.859375,3.655518395,-1.791885981,63.40119159,44.96269916349231,19.63892442,44.0,0.0
16,Eduardo Paci,"34386 Shepard Lodge Apt. 889
East Erin, RI 48702", female,2/6/1977, White, Married-civ-spouse, Prof-specialty,f, Wife, Masters,>50K, United-States, Private,14.0,0.0,386726.0,44.0,1977.0,0.297372058,8.094685647999999,100.3984375,2.724916388,0.577455179,68.95415538,43.07176784,20.33051518,42.0,0.0
17,Elvin troutman,"47716 Reynolds tunnel Suite 466
South Joshuatown, NH 92502", female,20/10/1967, White, Married-civ-spouse, farming-fishing,t, Wife, Some-college,<=50K, United-States, Private,10.0,0.0,264210.0,20.0,0.0,4.347698018,0.010425467,24.484375,109.7892977,18.75114241,-1.259046483,41.16544067,28.880607670569045,52.0,1.0
18,John Briscoe,"396 Nguyen Row
Garrettberg, Ct 57382", female,6/8/1969, White, Never-married, Prof-specialty,f,Not_in_family, Bachelors,<=50K, Cuba, Private,13.0,2907.0,266091.0,52.0,0.0,0.320337544,7.153364366,118.7265625,3.721571906,0.8911952240000001,55.73816753,40.55488466,23.10667214,50.0,0.0
19,John Cuff,"10243 Williams flats
Longshire, OR 37126", female,3/2/1945, White, Never-married, Sales,f,Not_in_family, Assoc-voc,<=50K, United-States, Private,11.0,0.0,187969.0,38.0,0.0,-0.199619402,-0.204138206,126.8359375,13.815634680350989,-0.375729634,-1.887131091,52.54459079,28.880607670569045,74.0,0.0
20,John Pierce,"4433 Ryan Courts
Donnamouth, DE 83886", female,27/6/1947, Amer-Indian-Eskimo, Married-civ-spouse, Prof-specialty,f, Wife, Assoc-acdm,<=50K, United-States, Private,12.0,0.0,29075.0,40.0,0.0,2.392634106,3.99602883,68.0,10.62123746,10.16685471,17.93412246,34.79673117,34.36608712,72.0,1.0
21,Emanuel Jenkins,"160 taylor Gardens
Port Brian, MO 75116", Male,25/7/1961, White, Married-civ-spouse, Prof-specialty,f, Husband, Some-college,<=50K, United-States, Self-emp-not-inc,10.0,0.0,315110.0,20.0,0.0,0.021220137000000003,9.076239501,119.53125,2.400501672,0.15581999800000002,114.0253034,45.94237857,14.01257079,58.0,0.0
22,Paul Corey,"0439 Baker Course
Burkechester, Ct 11984", Male,14/8/1965, White, Married-civ-spouse, Other-service,f, Husband, 11th,<=50K, United-States, Self-emp-not-inc,7.0,0.0,92178.0,40.0,0.0,-0.194649306,9.091147614,140.546875,2.474080268,0.490959973,86.49570902,40.40128003,20.54239837,54.0,0.0
23,Andrew Erickson,"257 tyler Creek Suite 312
Watsonmouth, MI 03049", Male,22/10/1960, Black, Married-civ-spouse, Craft-repair,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,319163.0,40.0,0.0,0.53019494,9.01254122,105.8828125,2.385451505,1.6307859219999998,110.8302172,36.6963088,14.09236453,59.0,0.0
24,Alex Coates,"4187 Karen Via Suite 438
Kellyberg, WI 22338", female,26/3/1970, White, Married-civ-spouse, Adm-clerical,f, Wife, Assoc-acdm,>50K, Italy, Private,12.0,0.0,170846.0,40.0,0.0,3.6688856,0.259049282,42.0234375,87.90468227,19.64800538,-1.5043414730000002,33.02708757,28.880607670569045,49.0,1.0
25,frankie Cook,"23338 Anthony Radial Apt. 750
Lake Erik, WA 74958", female,7/10/1955, White, Divorced, Prof-specialty,f, Unmarried, HS-grad,<=50K, United-States, federal-gov,9.0,0.0,190174.0,40.0,0.0,0.010375672,5.3259612160000005,137.0859375,6.573578595,-0.171750769,29.10956458,49.38592084,31.47219037,64.0,0.0
26,James Oglesby,"PSC 5491, Box 5970
APO AE 70688", Male,19/5/1969, White, Divorced, Sales,f, Not_in_family, Some-college,<=50K, United-States, Private,10.0,0.0,203488.0,40.0,0.0,0.8501844736562745,1.5141474330000002,8.25,48.65468227,3.51995953893099,1.877476401,26.94351731,58.29434870000001,50.0,1.0
27,terry Rock,"14807 Butler Springs
Nicholasbury, WY 45512", Male,30/10/1963, White, Married-civ-spouse, Exec-managerial,f, Husband, Bachelors,>50K, United-States, Private,13.0,0.0,212781.0,40.0,0.0,0.446359263,13.56335017,104.3359375,1.116220736,1.169709389,218.2323235,41.6726974,12.08369798,55.0,0.0
28,Anthony Pisciotta,"2286 Phillips Squares Suite 449
Jamesberg, ID 69649", Male,3/2/1950, White, Married-civ-spouse, Machine-op-inspct,f, Husband, HS-grad,>50K, United-States, Private,9.0,0.0,218630.0,40.0,0.0,2.833534788,2.685933484,49.078125,22.22826087,14.16353002,6.424923932,31.69202615,54.9140609,69.0,1.0
29,Eric Steuer,"053 Maria freeway
Cortezfurt, NC 14978", Male,9/1/1964, White, Married-civ-spouse, Prof-specialty,f, Husband, Bachelors,>50K, United-States, Private,13.0,0.0,359828.0,44.0,0.0,-0.15108180699999998,7.879939038,126.34375,3.237458194,-0.320673329,70.94755008,46.0150175,19.50779284,55.0,0.0
30,Jose Perkins,"5770 Lori Land
North Philipmouth, WV 05787", Male,10/4/1951, White, Married-civ-spouse, Prof-specialty,f, Husband, Some-college,>50K, United-States, Private,10.0,7688.0,19302.0,40.0,0.0,1.335441841,5.7080732260000016,86.1015625,6.113712375,2.940783765,32.67639852,46.12056887,32.53460385,68.0,1.0
31,Wayne Brown,"3628 Reese Haven
South Melissaside, GA 83688", female,11/9/1957, White, Married-spouse-absent, Other-service,f, Unmarried, 7th-8th,<=50K, United-States, Private,4.0,0.0,121958.0,30.0,0.0,0.003623994,-0.864506151,113.484375,13.815634680350989,-0.224286337,-1.102026995,52.28452573,77.37033474,62.0,0.0
32,Hans Sackett,"99338 Raymond Junction
Lake Edwardmouth, MA 26182", Male,20/10/1968, White, Widowed, Prof-specialty,f,Not_in_family, Assoc-voc,>50K, United-States, Private,11.0,25124.0,183213.0,60.0,0.0,4.659643272,0.992518955,21.0390625,72.13712375,22.02695179,0.27588470600000004,38.7059028,64.50498096,51.0,1.0
33,Harry Mcgraw,"441 Monroe Prairie Apt. 973
West Ruth, RI 70508", Male,21/5/1967, White, Married-civ-spouse, Protective-serv,f, Husband, Some-college,<=50K, United-States, Local-gov,10.0,0.0,113838.0,99.0,0.0,0.144400986,16.73948344,118.296875,1.04180602,-0.269273166,79.42211559209325,49.93282353,10.19926508,52.0,0.0
34,James Hunt,"7188 Murray Parkways Apt. 495
Blackburnhaven, MA 93953", female,20/8/1977, Black, Separated, Machine-op-inspct,f, Unmarried, HS-grad,<=50K, United-States, Private,9.0,0.0,114797.0,40.0,0.0,-0.059285879000000014,10.91509331,124.015625,1.689799331,-0.070660374,154.9596918,48.83837892,13.15910851,42.0,0.0
35,Luke Smart,"23110 Brooks Rapid Suite 473
Lake Katieport, NC 23392", Male,13/3/1960, White, Married-civ-spouse, transport-moving,f, Husband, 9th,<=50K, United-States, Private,5.0,0.0,100099.0,40.0,0.0,1.573240528,-0.473744206,84.2265625,13.815634680350989,2.60999922,-0.478413851,47.42332872,71.87268664,59.0,1.0
36,Caleb Johnson,"6704 Jon Valley
South Stanleyland, Mt 39326", Male,25/7/1972, Black, Never-married, Adm-clerical,f, Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,324609.0,40.0,0.0,3.802018452,2.4519762430000003,41.375,23.66053512,16.05622183,5.164108328999999,39.76532723,55.42796537,47.0,1.0
37,Eric Guerrero,"1950 Michael Bridge
Stewartton, NH 60931", female,6/5/1965, White, Never-married, Machine-op-inspct,f, Unmarried, 5th-6th,<=50K, Mexico, Private,3.0,0.0,222971.0,40.0,0.0,1.976103877,2.238784691,78.3515625,26.31856187,7.087290857,4.036012839,35.03627358,58.15704741,54.0,1.0
38,Paul Griggs,"1148 Kelly Plains
North Amyport, NY 00741", female,21/5/1972, White, Never-married, Other-service,f,Own_child, Assoc-acdm,<=50K, United-States, Private,12.0,0.0,107882.0,9.0,0.0,-0.070374765,12.87512135,138.875,1.512541806,-0.389232706,223.3216001,58.98635965,11.57579399,47.0,0.0
39,Jimmy Jones,"52106 Bailey Walk
Beckerhaven, CA 93435", female,3/10/1956, Asian-Pac-Islander, Never-married, tech-support,f,Not_in_family, Bachelors,<=50K, Philippines, Private,13.0,0.0,74883.0,40.0,0.0,5.329647139,0.025379341,16.0546875,118.0083612,30.32339334,-1.238788062,32.86580399,28.880607670569045,63.0,1.0
40,John Bormann,"258 Regina Ways Apt. 737
Michaelchester, OR 12247", female,26/1/1979, White, Married-civ-spouse, Other-service,f, Wife, HS-grad,<=50K, Peru, Private,9.0,0.0,339588.0,40.0,0.0,0.304791679,13.17515728,103.96875,1.5058528430000002,0.016580582,239.0896684,47.47350207,11.25543195,40.0,0.0
41,Karl fredrick,"1476 Michael Springs
New Mary, GA 98764", Male,2/10/1958, White, Never-married, Craft-repair,f, Unmarried, 11th,<=50K, United-States, Private,7.0,0.0,353010.0,35.0,0.0,0.12515654699999998,8.143903219,137.7265625,2.95735786,0.33191264600000003,83.31886616,43.60345364,16.82819007,61.0,0.0
42,James Bailey,"9072 Charles Burg Apt. 032
Shannonburgh, NY 81030", Male,30/9/1967, White, Never-married, Priv-house-serv,f, Own_child, 9th,<=50K, Mexico, Private,5.0,0.0,329530.0,40.0,0.0,0.420598477,5.979902151,98.0078125,4.5409699,0.642508806,43.12693476,46.20868021,20.45394109,52.0,0.0
43,Rickey Bell,"PSC 1057, Box 0591
APO AE 69779", Male,18/7/1981, White, Married-civ-spouse, farming-fishing,f, Husband, HS-grad,>50K, United-States, Self-emp-not-inc,9.0,15024.0,172479.0,60.0,0.0,0.145024965,13.28619928,117.90625,1.359531773,-0.0007861239999999999,228.1446659,47.49661789,11.60258164,38.0,0.0
44,James Dyer,"33646 Adams ford
North Christina, tN 05065", Male,2/5/1975, White, Married-civ-spouse, Exec-managerial,f, Husband, Prof-school,>50K, United-States, Private,15.0,0.0,166662.0,50.0,0.0,-0.496183948,0.66295114,146.484375,73.69732441,0.013135363,-1.248638834,50.37577301,28.880607670569045,44.0,0.0
45,Charles Carver,"4787 Nichole Extensions
Jacobborough, AZ 29271", Male,13/7/1998, White, Divorced, Craft-repair,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,194290.0,40.0,0.0,-0.144638989,6.964876061,125.65625,4.568561873,-0.5958970029999999,53.00506896,57.05745973,24.92868386,21.0,0.0
46,William Nolan,"71999 Reynolds track
Port thomas, NM 41767", Male,18/4/1968, White, Divorced, Exec-managerial,f,Not_in_family, Bachelors,<=50K, United-States, Private,13.0,0.0,252662.0,40.0,0.0,0.305970532,10.22043488,111.953125,2.107859532,0.527937986,112.0883672,45.4128388,18.67628399,51.0,0.0
47,Steven Skinner,"700 Kathleen Skyway
Davisborough, tX 47147", Male,29/4/1982, White, Never-married, Adm-clerical,f,Not_in_family, Assoc-acdm,<=50K, United-States, federal-gov,12.0,0.0,143766.0,40.0,0.0,0.55005666,10.36682099,90.4921875,1.72909699,3.56381368,126.8029858,33.64172356,14.45782204,37.0,0.0
48,David thornton,"9694 Anderson tunnel Suite 144
North terrishire, AK 67579", Male,29/12/1971, Black, Married-civ-spouse, tech-support,f, Husband, Some-college,>50K, Jamaica, Private,10.0,0.0,401623.0,40.0,0.0,0.148300116,6.124397015,131.5390625,4.431438127,-0.487113554,38.48226294,53.65775549,25.56010324,47.0,0.0
49,Matthew Mccormick,"781 Amy Hills
Josephview, NJ 50506", Male,27/10/1970, White, Married-civ-spouse, Sales,f, Husband, Bachelors,>50K, United-States, Private,13.0,0.0,205474.0,40.0,0.0,-0.045391064,4.897418603,121.734375,7.165551839,-0.114901285,24.27844751,50.76007972,31.10255478,49.0,0.0
50,John Reeves,"021 Deborah Key Apt. 107
West thomasstad, NC 28850", female,19/9/1982, White, Never-married, Adm-clerical,f,Own_child, HS-grad,<=50K, United-States, Private,9.0,0.0,137363.0,40.0,0.0,0.783344189,1.140126857,84.359375,50.38461538,1.05316759,-0.446797959,43.96336088,28.880607670569045,37.0,0.0
51,Hector Sturges,"0089 Calderon Hills
East Crystalfurt, AZ 17874", female,9/7/1971, White, Married-civ-spouse, Prof-specialty,f, Wife, Doctorate,>50K, United-States, Self-emp-not-inc,16.0,0.0,182752.0,35.0,0.0,2.935560303,1.472488674,48.2421875,41.50418060000001,10.88874578,1.305269046,36.49202526,62.89781076,48.0,1.0
52,frederick Gomez,"218 taylor Canyon Apt. 786
Hughestown, MI 70267", female,17/9/1967, Black, Never-married, Adm-clerical,f,Not_in_family, Assoc-acdm,<=50K, United-States, Private,12.0,0.0,281422.0,45.0,0.0,0.857257553,10.93680598,76.515625,1.805183946,2.7732050480000003,127.8741213,37.64492503,17.41264888,52.0,0.0
53,Bill Pena,"72234 Johnson fork
Lake Susan, AR 57445", Male,20/7/1967, White, Never-married, Sales,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,193868.0,50.0,0.0,-0.177095872,3.922105487,123.4375,10.77341137,-0.443829346,14.91596239,52.22857665,40.10837737,52.0,0.0
54,timothy Lowery,"6467 Moore Ridge
Montoyaland, KY 16716", Male,13/5/1960, White, Married-civ-spouse, Sales,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,223214.0,50.0,0.0,0.012806896000000002,1.627871855,134.625,34.78929766,0.77002819,0.975553603,38.76028089,68.98783824,59.0,0.0
55,Michael Baker,"3013 Bryan Highway Suite 090
North Robert, WI 51980", Male,23/4/1975, White, Married-spouse-absent, transport-moving,f,Own_child, HS-grad,<=50K, Peru, Private,9.0,0.0,333505.0,40.0,0.0,0.16097522,7.4912044039999985,108.671875,3.598662207,0.139801756,57.98247071,43.66064256,24.62218454,44.0,0.0
56,William Anderson,"5786 Morgan Summit Suite 870
South Andrew, OR 95206", Male,16/9/1991, White, Married-civ-spouse, Exec-managerial,f, Husband, HS-grad,<=50K, United-States, Private,9.0,0.0,336061.0,50.0,0.0,0.257984474,9.333754407999999,114.28125,2.267558528,-0.095782141,93.2219824,45.34932771,17.995549,28.0,0.0
57,Bennie Jones,"9406 Desiree Rest
South Laurafort, ME 72779", female,29/12/1964, White, Never-married, Sales,f,Not_in_family, HS-grad,<=50K, United-States, Private,9.0,0.0,137900.0,35.0,0.0,0.382114814,12.81936479,115.8984375,1.622073579,-0.299731538,230.372885,55.62933127,11.4217996,54.0,0.0
58,Norman Mankowski,"42583 Michael Stream
East Jessicaberg, VA 52650", Male,18/2/1964, White, Divorced, Exec-managerial,f, Not_in_family, Some-college,<=50K, United-States, Private,10.0,0.0,160402.0,38.0,0.0,0.301560145,9.886598292,122.546875,2.22909699,0.098437577,107.70752240000002,51.4401745,18.34013517,55.0,0.0
59,Desmond Standard,"31420 tricia Drive Apt. 910
Josephhaven, PA 86463", Male,30/3/1968, White, Married-civ-spouse, Exec-managerial,f, Husband, Some-college,>50K, United-States, Self-emp-inc,10.0,0.0,326048.0,40.0,0.0,0.043147765,6.48271807,132.484375,4.278428094,0.513479855,49.70654607,43.23030339,21.47749626,51.0,0.0
60,Gordon Yarbrough,"6150 thomas Junction
Phyllisbury, IL 51403", female,5/1/1981, Black, Never-married, Adm-clerical,f, Unmarried, Some-college,<=50K, United-States, federal-gov,10.0,0.0,409815.0,40.0,0.0,0.180942755,5.171432525,120.203125,6.331939799,0.136426627,27.92035234,46.33056486,29.68152049,38.0,0.0
61,Kevin Conklin,"Unit 2803 Box 2151
DPO AE 89583", Male,7/7/1963, Black, Married-civ-spouse, Exec-managerial,f, Husband, Masters,>50K, United-States, Private,14.0,0.0,154308.0,40.0,0.0,2.010625143,3.963575589,69.234375,12.01839465,5.760894094,14.94381867,42.41912975,44.85330601,56.0,1.0
